IDfg,Season,Age,G,PA,TBF
1013333,1996,35,42,95,
1010460,1994,31,21,54,
816,1996,29,95,253,
1006336,1997,31,46,192,
1270,1995,25,52,184,
1610,1994,29,99,403,
1011730,1994,32,80,348,
1106,1997,25,46,113,
687,1994,23,68,274,
1380,1997,32,96,169,
1010758,1993,36,77,248,
688,1997,27,121,199,
1009269,1996,27,87,241,
1000910,1994,28,103,359,
623,1996,26,110,370,
1010770,1993,30,66,136,
1005525,1994,29,113,463,
942,1994,31,77,310,
1009778,1995,29,97,369,
1012940,1993,34,96,231,
1004026,1997,33,98,425,
1008293,1993,24,128,503,
1001772,1995,38,129,596,
869,1997,22,80,227,
1004982,1994,29,35,113,
1006090,1995,30,113,304,
1001373,1993,32,117,311,
1009685,1995,35,67,233,
1012356,1995,27,144,602,
1006462,1993,32,72,280,
1834,1994,28,63,227,
1009852,1993,31,134,441,
1007905,1995,31,115,420,
1004496,1993,25,141,597,
123,1995,27,94,246,
1954,1997,26,87,272,
1011411,1994,34,57,247,
1302,1993,26,133,445,
1013718,1997,32,98,287,
1003137,1993,32,128,532,
1012845,1993,24,94,312,
1010771,1993,30,132,504,
1009827,1994,30,55,152,
1000904,1993,29,115,363,
1004200,1994,34,59,137,
1130,1997,32,97,366,
286,1997,29,107,178,
129,1993,27,159,633,
1007655,1993,25,98,403,
1006075,1995,28,95,287,
286,1995,27,132,527,
1008091,1996,30,86,256,
1106,1995,23,9,22,
1009770,1994,23,19,66,
853,1995,29,105,118,
1007444,1997,26,43,104,
1007585,1995,25,81,194,
1450,1997,26,34,131,
1000434,1994,35,94,357,
1000900,1997,32,156,648,
1000207,1996,31,61,130,
1014414,1994,28,67,133,
1012939,1996,35,143,599,
1012845,1994,25,66,205,
716,1994,27,90,275,
1003267,1994,32,32,85,
1009601,1995,25,81,294,
1013072,1995,24,77,185,
1001088,1994,29,85,300,
1011438,1995,27,35,113,
1006257,1996,32,111,337,
1006615,1994,29,72,228,
1008293,1994,25,100,378,
1302,1994,27,94,325,
280,1993,28,86,350,
92,1995,29,25,60,
1007590,1996,32,88,309,
713,1994,26,98,379,
1006290,1993,30,85,308,
1043,1997,33,108,267,
1009778,1996,30,106,325,
221,1993,27,64,237,
1088,1995,30,129,542,
1004706,1994,27,105,431,
1032,1997,32,139,562,
546,1993,24,49,167,
1001986,1996,28,27,113,
713,1995,27,75,294,
75,1997,32,29,68,
1011756,1997,30,122,425,
1009960,1993,30,92,355,
634,1997,23,84,266,
1001913,1994,31,62,135,
1010770,1995,32,66,134,
1005125,1994,30,100,390,
129,1994,28,114,440,
661,1997,32,89,285,
1008091,1995,29,118,424,
1010838,1993,31,103,290,
1006700,1996,32,111,389,
658,1997,30,47,161,
1012788,1993,31,34,96,
115,1997,30,36,94,
1010139,1996,26,13,45,
1006029,1993,29,12,36,
1005307,1995,29,25,81,
1011003,1994,30,32,49,
1004251,1996,27,19,35,
1384,1996,28,61,158,
1001646,1996,30,38,41,
1049,1996,25,38,130,
1011906,1994,31,81,258,
1005269,1996,28,89,299,
1012829,1994,31,104,470,
1005327,1997,24,34,111,
1004026,1995,31,136,578,
689,1996,25,79,151,
1007928,1997,33,60,146,
