player_name,team,fa_class,position,minor_league_level,first_name_lower,last_name_lower,normed_position
R.J. Seidel,Milwaukee Brewers,2013,RHP,AAA,r.j.,seidel,pitcher
Zach Kroenke,Milwaukee Brewers,2013,LHP,AAA,zach,kroenke,pitcher
Aaron Laffey,Milwaukee Brewers,2013,LHP,AAA,aaron,laffey,pitcher
Travis Webb,Milwaukee Brewers,2013,LHP,AAA,travis,webb,pitcher
Anderson de la Rosa,Milwaukee Brewers,2013,C,AAA,anderson,de la rosa,batter
Ozzie Chavez,Milwaukee Brewers,2013,SS,AAA,ozzie,chavez,batter
Blake Davis,Milwaukee Brewers,2013,SS,AAA,blake,davis,batter
Brock Kjeldgaard,Milwaukee Brewers,2013,OF,AA,brock,kjeldgaard,batter
Micah Owings,Milwaukee Brewers,2013,OF,AA,micah,owings,batter
Rene Tosoni,Milwaukee Brewers,2013,OF,AA,rene,tosoni,batter
Nick Blackburn,Minnesota Twins,2013,RHP,AAA,nick,blackburn,pitcher
Kyle Davies,Minnesota Twins,2013,RHP,AA,kyle,davies,pitcher
Cole DeVries,Minnesota Twins,2013,RHP,AAA,cole,devries,pitcher
Deolis Guerra*,Minnesota Twins,2013,RHP,AAA,deolis,guerra*,pitcher
Miguel Munoz,Minnesota Twins,2013,RHP,Hi A,miguel,munoz,pitcher
Dan Sattler,Minnesota Twins,2013,RHP,AA,dan,sattler,pitcher
Manuel Soliman,Minnesota Twins,2013,RHP,Hi A,manuel,soliman,pitcher
Tom Stuifbergen,Minnesota Twins,2013,RHP,AA,tom,stuifbergen,pitcher
Dan Turpen,Minnesota Twins,2013,RHP,AA,dan,turpen,pitcher
Nelvin Fuentes,Minnesota Twins,2013,LHP,Hi A,nelvin,fuentes,pitcher
Pedro Hernandez,Minnesota Twins,2013,LHP,AAA,pedro,hernandez,pitcher
Jeff Clement,Minnesota Twins,2013,1B,AAA,jeff,clement,batter
Eric Farris,Minnesota Twins,2013,2B,AAA,eric,farris,batter
Ray Olmedo,Minnesota Twins,2013,SS,AAA,ray,olmedo,batter
Brian Dinkelman,Minnesota Twins,2013,OF,AAA,brian,dinkelman,batter
Jhonathan Goncalves,Minnesota Twins,2013,OF,Hi A,jhonathan,goncalves,batter
Angel Morales,Minnesota Twins,2013,OF,AA,angel,morales,batter
Jordan Parraz,Minnesota Twins,2013,OF,AA,jordan,parraz,batter
Antoan Richardson,Minnesota Twins,2013,OF,AAA,antoan,richardson,batter
Giancarlo Alvarado,New York Mets,2013,RHP,AAA,giancarlo,alvarado,pitcher
Greg Burke,New York Mets,2013,RHP,AAA,greg,burke,pitcher
Matt Fox,New York Mets,2013,RHP,AAA,matt,fox,pitcher
D.J. Mitchell,New York Mets,2013,RHP,AAA,d.j.,mitchell,pitcher
Dylan Owen,New York Mets,2013,RHP,AA,dylan,owen,pitcher
Armando Rodriguez,New York Mets,2013,RHP,AA,armando,rodriguez,pitcher
Daryl Thompson,New York Mets,2013,RHP,AAA,daryl,thompson,pitcher
Cory Wade,New York Mets,2013,RHP,AAA,cory,wade,pitcher
Justin Hampson,New York Mets,2013,LHP,AAA,justin,hampson,pitcher
Jeyckol De Leon,New York Mets,2013,C,SS,jeyckol,de leon,batter
Francisco Pena,New York Mets,2013,C,AAA,francisco,pena,batter
Rhyne Hughes,New York Mets,2013,1B,AA,rhyne,hughes,batter
Richard Lucas,New York Mets,2013,3B,AA,richard,lucas,batter
Brian Bixler,New York Mets,2013,SS,AAA,brian,bixler,batter
Brandon Hicks,New York Mets,2013,SS,AAA,brandon,hicks,batter
Josh Rodriguez,New York Mets,2013,SS,AA,josh,rodriguez,batter
Jamie Hoffmann,New York Mets,2013,OF,AAA,jamie,hoffmann,batter
Cory Arbiso,New York Yankees,2013,RHP,AA,cory,arbiso,pitcher
Sam Demel,New York Yankees,2013,RHP,AAA,sam,demel,pitcher
Yoshinori Tateyama,New York Yankees,2013,RHP,AAA,yoshinori,tateyama,pitcher
Bobby Wilson,New York Yankees,2013,C,AAA,bobby,wilson,batter
Andrew Clark,New York Yankees,2013,1B,AA,andrew,clark,batter
Randy Ruiz,New York Yankees,2013,1B,AAA,randy,ruiz,batter
Reegie Corona,New York Yankees,2013,2B,AA,reegie,corona,batter
Walter Ibarra,New York Yankees,2013,SS,AAA,walter,ibarra,batter
Fernando Martinez,New York Yankees,2013,OF,AAA,fernando,martinez,batter
Corey Patterson,New York Yankees,2013,OF,AAA,corey,patterson,batter
