player_name,team,fa_class,position,minor_league_level
Brian Gordon,Oakland Athletics,2014,RHP,AAA
David Mota,Oakland Athletics,2014,RHP,Hi A
Kyler Newby,Oakland Athletics,2014,RHP,AAA
James Simmons,Oakland Athletics,2014,RHP,Hi A
Pedro Vidal,Oakland Athletics,2014,RHP,AA
Shaeffer Hall,Oakland Athletics,2014,LHP,Hi A
Carlos Hernandez,Oakland Athletics,2014,LHP,AAA
Julio Ramos*,Oakland Athletics,2014,LHP,Hi A
Pedro Viola,Oakland Athletics,2014,LHP,AA
Diomedes Lopez,Oakland Athletics,2014,C,AA
Gabriel Arias,Philadelphia Phillies,2014,RHP,Hi A
Justin Friend,Philadelphia Phillies,2014,RHP,AAA
Mike MacDougal,Philadelphia Phillies,2014,RHP,AAA
Juan Sosa,Philadelphia Phillies,2014,RHP,AA
Bobby Bramhall,Philadelphia Phillies,2014,LHP,AA
Tom Cochran,Philadelphia Phillies,2014,LHP,AAA
Mauricio Robles,Philadelphia Phillies,2014,LHP,AAA
Greg Smith,Philadelphia Phillies,2014,LHP,AAA
John Suomi,Philadelphia Phillies,2014,C,AAA
Shawn Williams*,Philadelphia Phillies,2014,C,AA
Matt Tolbert,Philadelphia Phillies,2014,2B,AA
Josh Fields,Philadelphia Phillies,2014,3B,AAA
Miguel Abreu,Philadelphia Phillies,2014,SS,AAA
Andres Blanco*,Philadelphia Phillies,2014,SS,AAA
Derrick Mitchell,Philadelphia Phillies,2014,OF,AAA
David Bromberg,Pittsburgh Pirates,2014,RHP,AA
Brooks Brown,Pittsburgh Pirates,2014,RHP,AAA
Erik Cordier,Pittsburgh Pirates,2014,RHP,AAA
Jason Erickson,Pittsburgh Pirates,2014,RHP,Hi A
Graham Godfrey,Pittsburgh Pirates,2014,RHP,AAA
Doug Mathis,Pittsburgh Pirates,2014,RHP,AAA
Luis Sanz,Pittsburgh Pirates,2014,RHP,AA
Kyle Waldrop,Pittsburgh Pirates,2014,RHP,AAA
Kurt Yacko,Pittsburgh Pirates,2014,RHP,R
Dan Cevette,Pittsburgh Pirates,2014,LHP,AA
Jhonathan Ramos,Pittsburgh Pirates,2014,LHP,AA
Atahualpa Severino,Pittsburgh Pirates,2014,LHP,AAA
Francisco Diaz,Pittsburgh Pirates,2014,C,Lo A
Devin Ivany,Pittsburgh Pirates,2014,C,Hi A
Lucas May,Pittsburgh Pirates,2014,C,AAA
Miguel Perez,Pittsburgh Pirates,2014,C,AA
Ali Solis,Pittsburgh Pirates,2014,C,AA
Russ Canzler,Pittsburgh Pirates,2014,1B,AAA
Ivan De Jesus Jr.,Pittsburgh Pirates,2014,2B,AAA
Oscar Tejeda,Pittsburgh Pirates,2014,2B,AA
Jared Goedert,Pittsburgh Pirates,2014,3B,AAA
Brian Bocock,Pittsburgh Pirates,2014,SS,AAA
Brett Carroll,Pittsburgh Pirates,2014,OF,AAA
Miles Durham*,Pittsburgh Pirates,2014,OF,Lo A
Darren Ford,Pittsburgh Pirates,2014,OF,AAA
Anthony Norman*,Pittsburgh Pirates,2014,OF,Hi A
Richard Castillo,St. Louis Cardinals,2014,RHP,AAA
Ramon Delgado,St. Louis Cardinals,2014,RHP,AAA
Deryk Hooker,St. Louis Cardinals,2014,RHP,AAA
Zach Russell,St. Louis Cardinals,2014,RHP,AA
Nick Additon,St. Louis Cardinals,2014,LHP,AAA
Jay Voss,St. Louis Cardinals,2014,LHP,Lo A
Rob Johnson,St. Louis Cardinals,2014,C,AAA
Brock Peterson,St. Louis Cardinals,2014,1B,AAA
Ruben Gotay,St. Louis Cardinals,2014,3B,AA
Adron Chambers,St. Louis Cardinals,2014,OF,AAA
Chad Huffman,St. Louis Cardinals,2014,OF,AAA
Jamie Romak,St. Louis Cardinals,2014,OF,AAA
Eddie Bonine,San Diego Padres,2014,RHP,AA
Wilfredo Boscan,San Diego Padres,2014,RHP,AA
Dan Cortes,San Diego Padres,2014,RHP,AAA
Fautino de los Santos,San Diego Padres,2014,RHP,AA
Josh Geer,San Diego Padres,2014,RHP,AA
Trevor Holder,San Diego Padres,2014,RHP,Hi A
Ryan Kelly,San Diego Padres,2014,RHP,AA
Jeremy McBryde,San Diego Padres,2014,RHP,AA
Jason Ray,San Diego Padres,2014,RHP,AAA
Tommy Layne,San Diego Padres,2014,LHP,AAA
Clay Zavada,San Diego Padres,2014,LHP,AA
Chris Robinson,San Diego Padres,2014,C,AAA
Eddy Rodriguez,San Diego Padres,2014,C,AAA
Brandon Allen,San Diego Padres,2014,1B,AAA
Jake Blackwood,San Diego Padres,2014,3B,AA
Jesus Merchan,San Diego Padres,2014,3B,AAA
Scott Moore,San Diego Padres,2014,3B,AAA
Gregorio Petit,San Diego Padres,2014,SS,AAA
Jeudy Valdez,San Diego Padres,2014,SS,AA
Travis Buck,San Diego Padres,2014,OF,AAA
Ben Francisco,San Diego Padres,2014,OF,AAA
Johan Limonta,San Diego Padres,2014,OF,AA
Mike Wilson,San Diego Padres,2014,OF,AAA
Fabio Castillo,San Francisco Giants,2014,RHP,AAA
Edward Concepcion,San Francisco Giants,2014,RHP,Lo A
Steve Edlefsen,San Francisco Giants,2014,RHP,AAA
Daryl Maday,San Francisco Giants,2014,RHP,AAA
Jon Meloan*,San Francisco Giants,2014,RHP,AAA
Ryan Sadowski*,San Francisco Giants,2014,RHP,AAA
Mason Tobin,San Francisco Giants,2014,RHP,AAA
Tyler LaTorre,San Francisco Giants,2014,C,AA
Mark Wagner,San Francisco Giants,2014,C,AAA
Jackson Williams,San Francisco Giants,2014,C,AAA
Todd Linden,San Francisco Giants,2014,1B,AAA
Brock Bond,San Francisco Giants,2014,2B,Hi A
Skyler Stromsmoe,San Francisco Giants,2014,2B,AA
Jonathan Arias,Seattle Mariners,2014,RHP,AAA
Moises Hernandez,Seattle Mariners,2014,RHP,AA
Brent Johnson*,Seattle Mariners,2014,RHP,AA
Stephen Shackleford,Seattle Mariners,2014,RHP,AA
Brian Sweeney,Seattle Mariners,2014,RHP,AAA
Pedro Reyes,Seattle Mariners,2014,LHP,DSL
Jason Jaramillo,Seattle Mariners,2014,C,AAA
Leury Bonilla,Seattle Mariners,2014,3B,AAA
Anthony Phillips,Seattle Mariners,2014,SS,Hi A
Denny Almonte,Seattle Mariners,2014,OF,AA
Joe Dunigan,Seattle Mariners,2014,OF,AAA
Matt Buschmann,Tampa Bay Rays,2014,RHP,AAA
Carlos Fisher,Tampa Bay Rays,2014,RHP,AA
Erik Hamren,Tampa Bay Rays,2014,RHP,AA
Victor Mateo,Tampa Bay Rays,2014,RHP,AA
Matt Nevarez,Tampa Bay Rays,2014,RHP,AA
Eduar Quinonez,Tampa Bay Rays,2014,RHP,Lo A
Wilking Rodriguez*,Tampa Bay Rays,2014,RHP,Hi A
Juan Sandoval,Tampa Bay Rays,2014,RHP,AAA
