internal_id,player_name,first_name,last_name,has_suffix,team,fa_class,position,normed_position,minor_league_level
4188,Noah Perio,Noah,Perio,false,LAD,2017,2B,batter,Hi A
5642,Zach Walters,Zach,Walters,false,LAD,2017,3B,batter,AAA
1549,Drew Maggi,Drew,Maggi,false,LAD,2017,SS,batter,AAA
1152,Corey Brown,Corey,Brown,false,LAD,2017,OF,batter,AAA
155,Alex Hassan,Alex,Hassan,false,LAD,2017,OF,batter,AAA
4552,Rico Noel,Rico,Noel,false,LAD,2017,OF,batter,AAA
5453,Will Venable,Will,Venable,false,LAD,2017,OF,batter,AAA
1601,Dylan Axelrod,Dylan,Axelrod,false,MIA,2017,RHP,pitcher,AAA
4712,Ryan Chaffee,Ryan,Chaffee,false,MIA,2017,RHP,pitcher,AAA
3267,Kendry Flores,Kendry,Flores,false,MIA,2017,RHP,pitcher,AAA
5256,Trey Lambert,Trey,Lambert,false,MIA,2017,RHP,pitcher,Lo A
3154,Juancito Martinez,Juancito,Martinez,false,MIA,2017,RHP,pitcher,Hi A
407,Asher Wojciechowski,Asher,Wojciechowski,false,MIA,2017,RHP,pitcher,AAA
1165,Cory Luebke,Cory,Luebke,false,MIA,2017,LHP,pitcher,AAA
3797,Matt Tracy,Matt,Tracy,false,MIA,2017,LHP,pitcher,AA
3024,Jose Velez,Jose,Velez,false,MIA,2017,LHP,pitcher,Hi A
1880,Francisco Arcia,Francisco,Arcia,false,MIA,2017,C,batter,AAA
5005,Stephen McGee,Stephen,McGee,false,MIA,2017,C,batter,AAA
81,Adrian Nieto,Adrian,Nieto,false,MIA,2017,C,batter,AAA
965,Chris Curley,Chris,Curley,false,MIA,2017,1B,batter,AA
1312,Danny Muno,Danny,Muno,false,MIA,2017,2B,batter,AA
2376,James Roberts,James,Roberts,false,MIA,2017,2B,batter,AA
1966,Garrett Weber,Garrett,Weber,false,MIA,2017,2B,batter,AA
5052,Sutton Whiting,Sutton,Whiting,false,MIA,2017,2B,batter,SS
1706,Elliot Soto,Elliot,Soto,false,MIA,2017,SS,batter,AAA
4663,Ronnie Mitchell,Ronnie,Mitchell,false,MIA,2017,OF,batter,AA
3179,Junior Sosa,Junior,Sosa,false,MIA,2017,OF,batter,Hi A
3273,Kenny Wilson,Kenny,Wilson,false,MIA,2017,OF,batter,AA
5541,Yhonathan Barrios,Yhonathan,Barrios,false,MIL,2017,RHP,pitcher,AAA
2135,Hiram Burgos,Hiram,Burgos,false,MIL,2017,RHP,pitcher,AAA
5127,Tim Dillard,Tim,Dillard,false,MIL,2017,RHP,pitcher,AAA
702,Brooks Hall,Brooks,Hall,false,MIL,2017,RHP,pitcher,AAA
436,Austin Ross,Austin,Ross,false,MIL,2017,RHP,pitcher,AAA
470,Ben Rowen,Ben,Rowen,false,MIL,2017,RHP,pitcher,AAA
1293,Daniel Tillman,Daniel,Tillman,false,MIL,2017,RHP,pitcher,AA
3266,Kender Villegas,Kender,Villegas,false,MIL,2017,RHP,pitcher,Hi A
4498,Rene Garcia,Rene,Garcia,false,MIL,2017,C,batter,AA
3890,Michael McKenry,Michael,McKenry,false,MIL,2017,C,batter,AAA
3100,Josmil Pinto,Josmil,Pinto,false,MIL,2017,C,batter,AAA
